COORD,A0,E0,A4,E4
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B2,-84,-75,-82,-82
B3,-78,-79,-77,-79
B3,-78,-79,-77,-79
B3,-78,-83,-77,-79
B3,-78,-83,-77,-79
B3,-78,-83,-77,-79
B3,-78,-83,-77,-79
B3,-78,-83,-81,-79
B3,-78,-83,-81,-79
B3,-78,-83,-81,-79
B3,-78,-83,-81,-79
B3,-78,-83,-87,-79
B3,-78,-83,-87,-79
B3,-78,-83,-87,-79
B3,-78,-83,-87,-79
B3,-78,-83,-87,-79
B3,-78,-83,-87,-79
B3,-78,-83,-87,-79
B3,-78,-83,-87,-79
B3,-78,-83,-87,-79
B3,-78,-83,-87,-79
B4,-78,-85,-76,-86
B4,-78,-85,-76,-86
B4,-78,-85,-79,-83
B4,-78,-85,-79,-83
B4,-78,-85,-80,-83
B4,-78,-85,-82,-83
B4,-78,-85,-82,-83
B4,-78,-85,-81,-83
B4,-78,-85,-81,-83
B4,-78,-85,-77,-83
B4,-78,-85,-77,-83
